Kursname;Kurskuerzel;Datum;Tag;Start;Ende;Lektionen;Zimmer;ZI_ID;Lehrperson;LP_ID
Einführung;Start;03.02.2020;Montag;18:30:00;21:45:00;4;5;;Altwegg;
Finanz-/Rechnungsw.;FRW;05.02.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Finanz-/Rechnungsw.;FRW;19.02.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Finanzbuchhaltung;FiBu;26.02.2020;Mittwoch;18:30:00;21:45:00;4;5;;Diethelm;
Praxis FiBu;FiBu;02.03.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;04.02.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
FiBu;FiBu;11.03.2020;Mittwoch;18:30:00;21:45:00;4;5;;Diethelm;
Praxis FiBu;FiBu;16.03.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;18.03.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
FiBu;FiBu;23.03.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Praxis FiBu;FiBu;30.03.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;01.04.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
FiBu;FiBu;20.04.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;22.04.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
MP FiBu;MP FiBu;27.04.2020;Montag;18:30:00;20:30:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;29.04.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Kostenrechnung;KoRe;04.05.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;06.05.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Kostenrechnung;KoRe;11.05.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;13.05.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Kostenrechnung;KoRe;18.05.2020;Montag;18:30:00;21:45:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;20.05.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
MP KoRe;MP KoRe;25.05.2020;Montag;18:30:00;20:30:00;4;5;;Diethelm;
Finanz-/Rechnungsw.;FRW;27.05.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Finanz-/Rechnungsw.;FRW;03.06.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Finanzielle Führung;FF;08.06.2020;Montag;18:30:00;21:45:00;4;5;;Christen;
Finanz-/Rechnungsw.;FRW;10.06.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Finanz-/Rechnungsw.;FRW;15.06.2020;Montag;18:30:00;21:45:00;4;5;;Christen;
Finanz-/Rechnungsw.;FRW;17.06.2020;Mittwoch;18:30:00;21:45:00;4;5;;Christen;
Finanzielle Führung;FF;22.06.2020;Montag;18:30:00;21:45:00;4;5;;Christen;
MP Finanzielle Fürhung;MP FF;24.06.2020;Mittwoch;18:30:00;20:30:00;4;5;;Christen;
;;;;;;;;;;
;;;;;;;;;;
