Kursname;Kurskuerzel;Datum;Tag;Start;Ende;Lektionen;Zimmer;ZI_ID;Lehrperson;LP_ID
Einführung;Einführung;04.02.2019;Montag;09:00:00;10:00:00;2;4;;Altwegg;
Deutsch;DT;11.02.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;11.02.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Deutsch;DT;18.02.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;18.02.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Deutsch;DT;25.02.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;25.02.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Deutsch;DT;04.03.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;04.03.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Deutsch;DT;11.03.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;11.03.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Deutsch;DT;18.03.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;18.03.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Deutsch;DT;25.03.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;25.03.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Deutsch;DT;01.04.2019;Montag;08:30:00;11:45:00;4;4;;Gerdes;
IT & Office;IT;01.04.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Selbstmanagement & Präsentation;SMP;08.04.2019;Montag;08:30:00;11:45:00;4;4;;;
IT & Office;IT;08.04.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Modulprüfung Deutsch;MP DT;13.04.2019;Montag;11:00:00;12:00:00;4;4;;;
Selbstmanagement & Präsentation;SMP;29.04.2019;Montag;08:30:00;11:45:00;4;4;;;
IT & Office;IT;29.04.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
IT & Office;KOR/KOM;06.05.2019;Montag;08:30:00;11:45:00;4;4;;Altwegg;
IT & Office;IT;06.05.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Selbstmanagement & Präsentation;SMP;13.05.2019;Montag;08:30:00;11:45:00;4;4;;;
IT & Office;IT;13.05.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
IT & Office;KOR/KOM;20.05.2019;Montag;08:30:00;11:45:00;4;4;;Altwegg;
IT & Office;IT;20.05.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Selbstmanagement & Präsentation;SMP;27.05.2019;Montag;08:30:00;11:45:00;4;4;;;
IT & Office;IT;27.05.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
IT & Office;KOR/KOM;03.06.2019;Montag;08:30:00;11:45:00;4;4;;Altwegg;
IT & Office;IT;03.06.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Selbstmanagement & Präsentation;SMP;17.06.2019;Montag;08:30:00;11:45:00;4;4;;;
IT & Office;IT;17.06.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
IT & Office;KOR/KOM;24.06.2019;Montag;08:30:00;11:45:00;4;4;;Altwegg;
IT & Office;IT;24.06.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
Selbstmanagement & Präsentation;SMP;01.07.2019;Montag;08:30:00;11:45:00;4;4;;;
IT & Office;IT;01.07.2019;Montag;13:00:00;16:15:00;4;4;;Arnold;
;;;;;;;;;;
Modulprüfung IT-/Office Skills;HS M1B Feb19;;;;;;;;;
