Kursname;Kurskuerzel;Datum;Tag;Start;Ende;Lektionen;Zimmer;ZI_ID;Lehrperson;LP_ID
Wirtschaftsinformatik;wi-nov18-w;11.11.2019;Montag; 18:30:00;21:45:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;13.11.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;18.11.2019;Montag; 18:30:00;21:45:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;20.11.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;25.11.2019;Montag; 18:30:00;21:45:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;27.11.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;02.12.2019;Montag; 18:30:00;21:45:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;04.12.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;09.12.2019;Montag; 18:30:00;21:45:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;11.12.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;16.12.2019;Montag; 18:30:00;21:45:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;18.12.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;06.01.2020;Montag; 18:30:00;21:45:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;08.01.2020;Mittwoch; 18:30:00;21:45:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;13.01.2020;Montag; 18:30:00;21:00:00;4;4;;Ledergerber;
Wirtschaftsinformatik;wi-nov18-w;15.01.2020;Mittwoch; 18:30:00;21:00:00;4;4;;Giger;
Wirtschaftsinformatik;wi-nov18-w;27.01.2020;Montag; 18:30:00;21:45:00;4;4;;Claudio;
Wirtschaftsinformatik;wi-nov18-w;27.01.2020;Montag; 18:30:00;21:45:00;4;4;;Heim;
