Kursname;Kurskuerzel;Datum;Tag;Start;Ende;Lektionen;Zimmer;ZI_ID;Lehrperson;LP_ID
Rechnungswesen;RW;17.08.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Betriebskunde;BK;31.08.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Rechnungswesen;RW;14.09.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Recht;RK;28.09.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Quartalsprüfung;QP;26.10.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Rechnungswesen;RW;09.11.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Betriebskunde;BK;23.11.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Volkswirtschaft;VWL;07.12.2019;Samstag;10:00:00;12:30:00;3;8;;Christen;
Recht;RK;11.01.2020;Samstag;10:00:00;12:30:00;3;8;;Christen;
Quartalsprüfung;QP;25.01.2020;Samstag;10:00:00;12:30:00;3;8;;Christen;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
