Kursname;Kurskuerzel;Datum;Tag;Start;Ende;Lektionen;Zimmer;ZI_ID;Lehrperson;LP_ID
SVEB 1 2019/1;SVEB1;16.08.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;17.08.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;17.08.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;30.08.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;31.08.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;31.08.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;20.09.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;21.09.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;21.09.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;27.09.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;28.09.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;28.09.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;18.10.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;19.10.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;19.10.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;08.11.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;09.11.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;09.11.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;22.11.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;23.11.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;23.11.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;06.12.2019;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;07.12.2019;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;07.12.2019;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;10.01.2020;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;11.01.2020;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;11.01.2020;Samstag;12:45:00;16:00:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;17.01.2020;Freitag;13:30:00;16:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;18.01.2020;Samstag;08:30:00;11:45:00;4;9;;Hensch;
SVEB 1 2019/1;SVEB1;18.01.2020;Samstag;12:45:00;16:00:00;4;9;;Hensch;
