Kursname;Kurskuerzel;Datum;Tag;Start;Ende;Lektionen;Zimmer;ZI_ID;Lehrperson;LP_ID
IT & Office;IT;10.02.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;12.02.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;17.02.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;19.02.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;24.02.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;26.02.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;02.03.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;04.03.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;09.03.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;11.03.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;16.03.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;18.03.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;23.03.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;25.03.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;30.03.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Deutsch;DT;01.04.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Lutiger;
IT & Office;IT;20.04.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Korrespondenz (Office);KOR/KOM;22.04.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Claudio;
IT & Office;IT;27.04.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Korrespondenz (Office);KOR/KOM;29.04.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Claudio;
IT & Office;IT;04.05.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Selbstmanagement / Präsentationstechnik;SMP;06.05.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Ledergerber ;
IT & Office;IT;11.05.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Selbstmanagement / Präsentationstechnik;SMP;13.05.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Ledergerber ;
IT & Office;IT;18.05.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Selbstmanagement / Präsentationstechnik;SMP;20.05.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Ledergerber ;
IT & Office;IT;25.05.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Korrespondenz (Office);KOR/KOM;27.05.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Claudio;
IT & Office;IT;08.06.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Selbstmanagement / Präsentationstechnik;SMP;10.06.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Ledergerber ;
IT & Office;IT;15.06.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Selbstmanagement / Präsentationstechnik;SMP;17.06.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Ledergerber ;
IT & Office;IT;22.06.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Korrespondenz (Office);KOR/KOM;24.06.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Claudio;
IT & Office;IT;29.06.2020;Montag; 18:30:00;21:45:00;4;8;;Arnold;
Selbstmanagement / Präsentationstechnik;SMP;01.07.2020;Mittwoch; 18:30:00;21:45:00;4;8;;Ledergerber ;
