Kursname;Kurskuerzel;Datum;Tag;Start;Ende;Lektionen;Zimmer;ZI_ID;Lehrperson;LP_ID
Modul 167 Evaluation;M167;04.02.2019;Montag; 18:30:00;21:45:00;4;4;;Giger;
Modul 192 Systemabgrenzung Sytemabgrenzung;M192;06.02.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Heim;
Modul 167 Evaluation;M167;11.02.2019;Montag; 18:30:00;21:45:00;4;4;;Giger;
Modul 192 Systemabgrenzung;M192;13.02.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Heim;
Modul 167 Evaluation;M167;18.02.2019;Montag; 18:30:00;21:45:00;4;4;;Giger;
Modul 192 Systemabgrenzung;M192;20.02.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Heim;
Modul 176 Informationssicherheit;M176;25.02.2019;Montag; 18:30:00;21:45:00;4;4;;Gerzner;
Modul 192 Systemabgrenzung;M192;27.02.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Heim;
Modul 167 Evaluation;M167;04.03.2019;Montag; 18:30:00;21:45:00;4;4;;Giger;
Modul 192 Systemabgrenzung;M192;06.03.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Heim;
Modul 176 Informationssicherheit;M176;11.03.2019;Montag; 18:30:00;21:45:00;4;4;;Gerzner;
Modul 192 Systemabgrenzung;M192;13.03.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Heim;
Modul 167 Evaluation;M167;18.03.2019;Montag; 18:30:00;21:45:00;4;4;;Giger;
Modul 176 Informationssicherheit;M176;20.03.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Gerzner;
Modul 176 Informationssicherheit;M176;25.03.2019;Montag; 18:30:00;21:45:00;4;4;;Gerzner;
Modul 192 Systemabgrenzung;M192;27.03.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Heim;
Modul 167 Evaluation;M167;01.04.2019;Montag; 18:30:00;21:45:00;4;4;;Giger;
Modul 176 Informationssicherheit;M176;03.04.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Gerzner;
Modul 176 Informationssicherheit;M176;08.04.2019;Montag; 18:30:00;21:45:00;4;4;;Gerzner;
Modul 167 Evaluation;M167;10.04.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Giger;
Modul 176 Informationssicherheit;M176;10.04.2019;Mittwoch; 18:30:00;21:45:00;4;4;;Gerzner;
